t_date,t_amount,t_desc,t_balance
16/06/2020,-38.33,JADE MOUNTAIN TRADING THOMASTOWN AU Tap and Pay xx3903 Value Date: 11/06/2020,1176.89
16/06/2020,-137.76,HARRIS SCARFE EPPING AU Tap and Pay xx3903 Value Date: 13/06/2020,1215.22
16/06/2020,-148.93,COSTCO WHOLESALE AUSTR EPPING AU Tap and Pay xx3903 Value Date: 13/06/2020,1352.98
16/06/2020,-1000,Transfer To Doni Franjo PayID Phone from CommBank App savings,1501.91
16/06/2020,1158.17,Transfer From Lion Pumping Lion Pumping,2501.91
15/06/2020,-1430,Direct Debit 077380 DEFT PAYMENTS DEFT 20289459,1343.74
15/06/2020,-15.5,WOOLWORTHS 3171 MILL P MILL PARK AU Card xx7776,2773.74
15/06/2020,-65,EnergyAustralia Pty NetBank BPAY 97410 10098555264979,2789.24
15/06/2020,-65,EnergyAustralia Pty NetBank BPAY 97410 10038940320839,2854.24
14/06/2020,-22.17,WOOLWORTHS 3171 MILL P MILL PARK AU Card xx7776,2919.24
13/06/2020,550,POS 43424400 13 JUN,2941.41
13/06/2020,-232.41,VODAFONE NORTH SYDNEY AU Card xx8833 Value Date: 10/06/2020,2391.41
12/06/2020,729.95,POS 43424400 12 JUN,2623.82
12/06/2020,-64.55,Direct Debit 068616 HOLLARD INSURANC HOLLAR2712171089,1893.87
12/06/2020,-200,Transfer To Doni Franjo PayID Phone from CommBank App Family,1958.42
12/06/2020,-8.64,WAFA TRADING GROUP PTY BUNDOORA AU Tap and Pay xx3903 Value Date: 09/06/2020,2158.42
11/06/2020,240,POS 43424400 11 JUN,2167.06
11/06/2020,1471.67,Direct Credit 364049 LB CONCRETE JDL SOFTWARE - LB,1927.06
11/06/2020,-18.98,JADE MOUNTAIN TRADING THOMASTOWN AU Card xx7776,455.39
11/06/2020,-1564,Transfer To Doni Franjo PayID Phone from CommBank App home rent,474.37
11/06/2020,-65.01,COSTCO FUEL EPPING EPPING AU,2038.37
11/06/2020,-14,Melb Onstreet MORELEY AU Tap and Pay xx3903 Value Date: 05/06/2020,2103.38
11/06/2020,-111.96,MILL PARK PHARMACY PL MILL PARK AU Tap and Pay xx3903 Value Date: 06/06/2020,2117.38
11/06/2020,-346.55,The Esplanade resort a Lake Entrance AU Card xx8833 Value Date: 06/06/2020,2229.34
11/06/2020,-33.44,COLES 0585 BUNDOORA AU Tap and Pay xx3903 Value Date: 09/06/2020,2575.89
10/06/2020,470.1,POS 43424400 10 JUN,2609.33
9/06/2020,-8.4,WOOLWORTHS 3140 LALOR AU Tap and Pay xx3903 Value Date: 05/06/2020,2139.23
9/06/2020,1158.17,Transfer From Lion Pumping Lion Pumping,2147.63
9/06/2020,-2.49,Direct Debit 279234 PAYPAL AUSTRALIA 1009240911130,989.46
9/06/2020,-162.2,Direct Debit 279234 PAYPAL AUSTRALIA 1009210124258,991.95
7/06/2020,-74.98,COSTCO WHOLESALE AUSTR EPPING AU Card xx7776,1154.15
7/06/2020,69.99,Refund Purchase COSTCO WHOLESALE AUSTR EPPING AU,1229.13
6/06/2020,120,POS 43424400 06 JUN,1159.14
6/06/2020,-127.48,COLES 0654 EPPING AU,1039.14
6/06/2020,-203.44,COSTCO WHOLESALE AUSTR EPPING AU Card xx7776,1166.62
6/06/2020,135,Transfer from GLENN CROCKER NetBank Glenn,1370.06
5/06/2020,500,POS 43424400 05 JUN,1235.06
5/06/2020,-306,Novotel Ibis Melb Centr alMelbourne AU,735.06
5/06/2020,-800,Transfer to xx5005 NetBank,1041.06
5/06/2020,-51.61,WOOLWORTHS 3171 MILL PARK AU Tap and Pay xx3903 Value Date: 02/06/2020,1841.06
5/06/2020,-0.89,International Transaction Fee Value Date: 02/06/2020,1892.67
5/06/2020,-29.53,WHITESPARKI 5875232235 AB CA Card xx8833 USD 20.00 Value Date: 02/06/2020,1893.56
4/06/2020,300,POS 43424400 04 JUN,1923.09
4/06/2020,-100,Direct Debit 279234 PAYPAL AUSTRALIA 1009196787701,1623.09
4/06/2020,-159.99,Direct Debit 279234 PAYPAL AUSTRALIA 1009188143237,1723.09
4/06/2020,-445,SMP*Centrecom Bundoor Bundoora03 AU,1883.08
4/06/2020,770,Transfer from CBA NetBank Hallett May,2328.08
4/06/2020,-500,LATITUDE GEM VISA NetBank BPAY 154799 6010732002049206,1558.08
4/06/2020,1158.17,Direct Credit 364049 LB CONCRETE JDL SOFTWARE - LB,2058.08
4/06/2020,-708.4,HUGO BOSS AUSTRALIA PRESTON AU Tap and Pay xx3903 Value Date: 01/06/2020,899.91
4/06/2020,-76.49,IKEA RICHMOND RICHMOND AU Tap and Pay xx3903 Value Date: 01/06/2020,1608.31
4/06/2020,-139.22,HOLLARD INSURANCE chatswood AU Card xx7776 Value Date: 01/06/2020,1684.8
3/06/2020,450,POS 43424400 03 JUN,1824.02
3/06/2020,-6.26,Direct Debit 279234 PAYPAL AUSTRALIA 1009180240229,1374.02
3/06/2020,-134.21,WOOLWORTHS 3171 MILL PARK AU Tap and Pay xx3903 Value Date: 30/05/2020,1380.28
2/06/2020,-128.7,CBA MERCHANT FEE 5353109391629396 Value Date: 31/05/2020,1514.49
2/06/2020,61.57,Transfer From LION PUMPING PTY 045LPS,1643.19
2/06/2020,-701.8,Transfer to CBA A/c NetBank Danibel Supplier,1581.62
2/06/2020,-130.43,TELSTRA BILL PAYMNT MELBOURNE AU Card xx8833 Value Date: 29/05/2020,2283.42
2/06/2020,-154.94,COSTCO WHOLESALE AUSTR EPPING AU Tap and Pay xx3903 Value Date: 28/05/2020,2413.85
2/06/2020,-3,WOOLWORTHS 3171 MILL PARK AU Tap and Pay xx3903 Value Date: 28/05/2020,2568.79
2/06/2020,-10,DISCOUNT DRUG STORES THOMASTOWN AU Card xx7776 Value Date: 29/05/2020,2571.79
2/06/2020,1158.17,Transfer From Lion Pumping Lion Pumping,2581.79
1/06/2020,-110.59,Direct Debit 513839 IINET_LIMITED-N 20152067edfb027,1423.62
31/05/2020,69,Refund Purchase WOOLWORTHS 3171 MILL PARK VIC AU,1534.21
30/05/2020,840,POS 43424400 30 MAY,1465.21
29/05/2020,110,POS 43424400 29 MAY,625.21
29/05/2020,-105,Direct Debit 279234 PAYPAL AUSTRALIA 1009125727406,515.21
29/05/2020,-13.99,Direct Debit 279234 PAYPAL AUSTRALIA 1009121400804,620.21
29/05/2020,-400,Transfer to xx5005 CommBank app Savings,634.2
29/05/2020,-65,EnergyAustralia Pty NetBank BPAY 97410 10098555264979,1034.2
29/05/2020,-65,EnergyAustralia Pty NetBank BPAY 97410 10038940320839,1099.2
29/05/2020,-800,Transfer to xx4217 NetBank,1164.2
29/05/2020,-40,OZTELL SYDNEY AU Card xx8833 Value Date: 26/05/2020,1964.2
28/05/2020,10,POS 43424400 28 MAY,2004.2
28/05/2020,-153.26,Direct Debit 466856 GIO COMMERCIAL I GPM004106253,1994.2
28/05/2020,49.98,Refund Purchase COSTCO WHOLESALE AUSTR EPPING AU,2147.46
28/05/2020,1158.17,Direct Credit 364049 LB CONCRETE JDL SOFTWARE - LB,2097.48
28/05/2020,-299.33,COSTCO WHOLESALE AUSTR EPPING AU Tap and Pay xx3903 Value Date: 25/05/2020,939.31
28/05/2020,-127.48,SCULLI BROS PTY LTD GREENSBOROUGH AU Card xx7776 Value Date: 25/05/2020,1238.64
27/05/2020,170,POS 43424400 27 MAY,1366.12
27/05/2020,-46.7,BUNNINGS 689000 MILL PARK AU Tap and Pay xx3903 Value Date: 24/05/2020,1196.12
27/05/2020,-36.36,WWW.NETTVPLUS.COM A-CF985 WWW.NETTVPLUS CY Card xx8833 AUD 36.36 Value Date: 23/05/2020,1242.82
26/05/2020,-869.05,Direct Debit 077380 DEFT PAYMENTS DEFT 20117349,1279.18
26/05/2020,-903,MWA*Centrecom Bundoora Bundoora AU Card xx8833 Value Date: 21/05/2020,2148.23
26/05/2020,-42.9,Spade Kings Pty Ltd South Morang AU Tap and Pay xx3903 Value Date: 24/05/2020,3051.23
26/05/2020,-9.68,HONG YAN GROUP PL LALOR AU Card xx7776 Value Date: 22/05/2020,3094.13
26/05/2020,-9.35,LALOR H P SEAFOODPL LALOR AU Card xx7776 Value Date: 22/05/2020,3103.81
26/05/2020,-4.95,Spade Kings Pty Ltd South Morang AU Card xx7776 Value Date: 24/05/2020,3113.16
26/05/2020,1158.17,Transfer From Lion Pumping Lion Pumping,3118.11
25/05/2020,-87.51,Direct Debit 279234 PAYPAL AUSTRALIA 1009057440781,1959.94
25/05/2020,-50.72,Direct Debit 279234 PAYPAL AUSTRALIA 1009048957745,2047.45
25/05/2020,-59.16,Direct Debit 279234 PAYPAL AUSTRALIA 1009048969151,2098.17
25/05/2020,-128.37,Direct Debit 279234 PAYPAL AUSTRALIA 1009048996806,2157.33
25/05/2020,-58.05,ALDI STORES - EPPING EPPING AU,2285.7
24/05/2020,-45.01,COSTCO FUEL EPPING EPPING AU,2343.75
23/05/2020,-1000,Transfer to xx4217 NetBank,2388.76
23/05/2020,1055,POS 43424400 23 MAY,3388.76
23/05/2020,-49,D O C CARLTON CARLTON AU Tap and Pay xx3903 Value Date: 20/05/2020,2333.76
23/05/2020,-7.72,WOOLWORTHS 3163 CARLTON AU Tap and Pay xx3903 Value Date: 20/05/2020,2382.76
23/05/2020,-2.49,WOOLWORTHS 3163 CARLTON AU Tap and Pay xx3903 Value Date: 20/05/2020,2390.48
23/05/2020,-70.4,VANILLI PTY LTD CARLTON AU Tap and Pay xx3903 Value Date: 20/05/2020,2392.97
22/05/2020,550,Transfer From Lion Pumping Lion Monthly Value Date: 23/05/2020,2463.37
22/05/2020,530,POS 43424400 22 MAY,1913.37
22/05/2020,-1000,Transfer to xx5005 CommBank app,1383.37
22/05/2020,-76.99,ADOBE CREATIVE CLOUD ADOBE.LY/ENAU IE Card xx8833 AUD 76.99 Value Date: 19/05/2020,2383.37
21/05/2020,550,POS 43424400 21 MAY,2460.36
21/05/2020,-899,Direct Debit 279234 PAYPAL AUSTRALIA 1009036467991,1910.36
21/05/2020,-567.95,Direct Debit 279234 PAYPAL AUSTRALIA 1009029663697,2809.36
21/05/2020,1158.17,Direct Credit 364049 LB CONCRETE JDL SOFTWARE - LB,3377.31
21/05/2020,-366.1,TK MAXX NORTHLAND PRESTON AU Tap and Pay xx3903 Value Date: 16/05/2020,2219.14
21/05/2020,-23.15,MILL PARK PHARMACY PL MILL PARK AU Tap and Pay xx3903 Value Date: 17/05/2020,2585.24
20/05/2020,230,POS 43424400 20 MAY,2608.39
20/05/2020,-466.59,EnergyAustralia Pty NetBank BPAY 97410 10054862335127 ShopHome Electrici,2378.39
20/05/2020,-464.96,EnergyAustralia Pty NetBank BPAY 97410 10035416593204 Electricity Shop,2844.98
20/05/2020,-20,WOOLWORTHS 3292 PRESTON AU Tap and Pay xx3903 Value Date: 16/05/2020,3309.94
19/05/2020,-39.01,Direct Debit 279234 PAYPAL AUSTRALIA 1009013593021,3329.94
19/05/2020,-49.99,Direct Debit 279234 PAYPAL AUSTRALIA 1009004518079,3368.95
19/05/2020,-39.21,Direct Debit 062246 CommInsure 8260620--143320631,3418.94
19/05/2020,-389.89,IKEA RICHMOND RICHMOND AU Tap and Pay xx3903 Value Date: 14/05/2020,3458.15
19/05/2020,1158.17,Transfer From Lion Pumping Lion Pumping,3848.04
18/05/2020,-19.8,COLES 7786 LALOR AU,2689.87
16/05/2020,645,POS 43424400 16 MAY,2709.67
16/05/2020,-37.99,COSTCO WHOLESALE AUSTR EPPING AU Card xx7776,2064.67
16/05/2020,-524.7,Transfer to CBA A/c NetBank Danibel Supplier,2102.66
16/05/2020,-29.99,COSTCO WHOLESALE AUSTR EPPING AU Tap and Pay xx3903 Value Date: 13/05/2020,2627.36
16/05/2020,-37.4,PLINE PH LALOR PLAZA LALOR AU Tap and Pay xx3903 Value Date: 12/05/2020,2657.35
16/05/2020,-46.68,WOOLWORTHS 3171 MILL PARK AU Tap and Pay xx3903 Value Date: 13/05/2020,2694.75
15/05/2020,710,POS 43424400 15 MAY,2741.43
15/05/2020,-459.95,Direct Debit 077380 DEFT PAYMENTS DEFT 20039817,2031.43
15/05/2020,-500,Transfer To Doni Franjo PayID Phone from CommBank App savings,2491.38
15/05/2020,-500,Transfer to xx5005 NetBank,2991.38
15/05/2020,-1000,Transfer to xx4217 NetBank,3491.38
15/05/2020,-23.5,MCDONALDS MILL PARK MILL PARK AU Tap and Pay xx4493 Value Date: 11/05/2020,4491.38
15/05/2020,-11.93,JOSEPHINE`S PANTRY P LALOR AU Tap and Pay xx3903 Value Date: 12/05/2020,4514.88
15/05/2020,-3.06,JOSEPHINE`S PANTRY P LALOR AU Tap and Pay xx3903 Value Date: 12/05/2020,4526.81
14/05/2020,819.95,POS 43424400 14 MAY,4529.87
14/05/2020,-51.48,Direct Debit 062246 CommInsure 9003028--143192661,3709.92
14/05/2020,1219.74,Direct Credit 364049 LB CONCRETE JDL SOFTWARE - LB,3761.4
14/05/2020,-230.64,VODAFONE NORTH SYDNEY AU Card xx8833 Value Date: 11/05/2020,2541.66
14/05/2020,-10,COLES 7786 LALOR AU Tap and Pay xx3903 Value Date: 12/05/2020,2772.3
13/05/2020,-45,COSTCO FUEL EPPING EPPING AU,2782.3
13/05/2020,-59.28,MEDITERRANEAN WHOLES BRUNSWICK AU Tap and Pay xx3903 Value Date: 10/05/2020,2827.3
13/05/2020,-39.92,S & S FINE FOODS PTY EPPING AU Tap and Pay xx3903 Value Date: 09/05/2020,2886.58
13/05/2020,-50,BOSSINI INTERNAT HEIDELBERG WE AU Card xx7776 Value Date: 10/05/2020,2926.5
12/05/2020,-64.55,Direct Debit 068616 HOLLARD INSURANC HOLLAR2692664357,2976.5
12/05/2020,-47.4,LALOR H P SEAFOODPL LALOR AU Tap and Pay xx3903 Value Date: 08/05/2020,3041.05
12/05/2020,-60.12,WOOLWORTHS 3355 EPPING AU Tap and Pay xx3903 Value Date: 08/05/2020,3088.45
12/05/2020,-26.46,PADRINO IGA PLUS LIQ THOMASTOWN AU Tap and Pay xx3903 Value Date: 08/05/2020,3148.57
12/05/2020,-88.48,HARRIS SCARFE EPPING AU Tap and Pay xx3903 Value Date: 09/05/2020,3175.03
12/05/2020,119.9,Return RESTOCK PTY LTD KEILOR PARK AU Card xx8833 Value Date: 08/05/2020,3263.51
12/05/2020,1158.17,Transfer From Lion Pumping Lion Pumping,3143.61
10/05/2020,-104.97,HARRIS SCARFE EPPING AU Card xx7776,1985.44
10/05/2020,-269.77,ALDI STORES - COBURG N COBURG NORTH AU,2090.41
9/05/2020,360,POS 43424400 09 MAY,2360.18
9/05/2020,-30,SITEGROUND HOSTING 448008620379 GB Card xx8833 AUD 30.00 Value Date: 06/05/2020,2000.18
8/05/2020,760,POS 43424400 08 MAY,2030.18
8/05/2020,-2.49,Direct Debit 279234 PAYPAL AUSTRALIA 1008886177987,1270.18
8/05/2020,-1430,Direct Debit 077380 DEFT PAYMENTS DEFT 29983966,1272.67
8/05/2020,500,Transfer from NetBank,2702.67
7/05/2020,120,POS 43424400 07 MAY,2202.67
7/05/2020,1158.17,Direct Credit 364049 LB CONCRETE JDL SOFTWARE - LB,2082.67
7/05/2020,-799,JB HI FI GREENSBOROUGH AU Tap and Pay xx3903 Value Date: 04/05/2020,924.5
7/05/2020,-54.95,JB HI FI GREENSBOROUGH AU Tap and Pay xx3903 Value Date: 04/05/2020,1723.5
7/05/2020,-45,COLES 7762 MERNDA AU Tap and Pay xx3903 Value Date: 05/05/2020,1778.45
7/05/2020,-40.97,DISCOUNT DRUG STORES THOMASTOWN AU Card xx7776 Value Date: 02/05/2020,1823.45
6/05/2020,-58,CENTRE COM SUNSHINE AU,1864.42
6/05/2020,-118.95,PSARAKOS PTY LTD BUNDOORA AU Tap and Pay xx3903 Value Date: 04/05/2020,1922.42
6/05/2020,-75.91,BUNNINGS 492000 EPPING AU Tap and Pay xx3903 Value Date: 03/05/2020,2041.37
6/05/2020,-225.25,BUNNINGS 543000 MERNDA AU Tap and Pay xx3903 Value Date: 03/05/2020,2117.28
5/05/2020,-26.57,Direct Debit 279234 PAYPAL AUSTRALIA 1008850966013,2342.53
5/05/2020,-36,Direct Debit 279234 PAYPAL AUSTRALIA 1008850892010,2369.1
5/05/2020,-39.11,Direct Debit 279234 PAYPAL AUSTRALIA 1008850965770,2405.1
5/05/2020,-34.94,Direct Debit 279234 PAYPAL AUSTRALIA 1008850793088,2444.21
5/05/2020,-29.99,Direct Debit 279234 PAYPAL AUSTRALIA 1008850813975,2479.15
5/05/2020,-184.71,Direct Debit 279234 PAYPAL AUSTRALIA 1008850610635,2509.14
5/05/2020,-59.98,WOOLWORTHS 3171 MILL PARK AU Tap and Pay xx3903 Value Date: 30/04/2020,2693.85
5/05/2020,-188.3,COSTCO WHOLESALE AUSTR EPPING AU Tap and Pay xx3903 Value Date: 30/04/2020,2753.83
5/05/2020,-40,OZTELL SYDNEY AU Card xx8833 Value Date: 30/04/2020,2942.13
5/05/2020,-205,WU 2012282496132419 180-017-3833 AU Card xx8833 Value Date: 01/05/2020,2982.13
5/05/2020,-149,Sydney Tools Pty Ltd Epping AU Tap and Pay xx3903 Value Date: 03/05/2020,3187.13
5/05/2020,-0.94,International Transaction Fee Value Date: 02/05/2020,3336.13
5/05/2020,-31.22,WHITESPARKI 5875232235 AB CA Card xx8833 USD 20.00 Value Date: 02/05/2020,3337.07
5/05/2020,-139.22,HOLLARD INSURANCE chatswood AU Card xx7776 Value Date: 01/05/2020,3368.29
5/05/2020,-19.35,POST THOMASTOWN POSTTH THOMASTOWN AU Card xx7776 Value Date: 01/05/2020,3507.51
5/05/2020,1158.17,Transfer From Lion Pumping Lion Pumping,3526.86
4/05/2020,-6.5,Direct Debit 279234 PAYPAL AUSTRALIA 1008823809986,2368.69
4/05/2020,-490,SMP*Centrecom Bundoor Bundoora03 AU,2375.19
2/05/2020,920,POS 43424400 02 MAY,2865.19
2/05/2020,-134.83,CBA MERCHANT FEE 5353109391629396 Value Date: 30/04/2020,1945.19
2/05/2020,-153.93,COSTCO WHOLESALE AUSTR EPPING AU Card xx7776,2080.02
2/05/2020,-130.43,TELSTRA BILL PAYMNT MELBOURNE AU Card xx8833 Value Date: 30/04/2020,2233.95
2/05/2020,-479.4,SITEGROUND HOSTING 448008620379 GB Card xx8833 AUD 479.40 Value Date: 29/04/2020,2364.38
1/05/2020,750,POS 43424400 01 MAY,2843.78
1/05/2020,-109.99,Direct Debit 513839 IINET_LIMITED-N 20121066fc4b62d,2093.78
1/05/2020,-803,TAX OFFICE PAYMENTS NetBank BPAY 75556 819177616490860 GST April,2203.77
1/05/2020,-31.47,MELBOURNE KEBABS & GRI THOMASTOWN AU Card xx7776,3006.77
1/05/2020,-55.95,WOOLWORTHS 3227 SOUTH MORANG AU Tap and Pay xx3903 Value Date: 28/04/2020,3038.24
1/05/2020,-198.84,DAN MURPHYS 3073 STH MORANG AU Tap and Pay xx3903 Value Date: 28/04/2020,3094.19
1/05/2020,-16.15,LALOR H P SEAFOODPL LALOR AU Card xx8833 Value Date: 28/04/2020,3293.03
1/05/2020,-12.52,COLES 7786 LALOR AU Tap and Pay xx3903 Value Date: 29/04/2020,3309.18
1/05/2020,-33.42,COLES 7705 SOUTH MORANG AU Tap and Pay xx3903 Value Date: 29/04/2020,3321.7
30/04/2020,620,POS 43424400 30 APR,3355.12
30/04/2020,1158.17,Direct Credit 364049 LB CONCRETE JDL SOFTWARE - LB,2735.12
30/04/2020,-23.06,RAMADAN (VIC) PTY LT LALOR AU Card xx8833 Value Date: 28/04/2020,1576.95
30/04/2020,-34.8,POST THOMASTOWN POSTTH THOMASTOWN AU Tap and Pay xx3903 Value Date: 27/04/2020,1600.01
29/04/2020,-9.99,Direct Debit 279234 PAYPAL AUSTRALIA 1008775580627,1634.81
29/04/2020,-24.3,KFC EPPING EPPING AU Tap and Pay xx3903 Value Date: 25/04/2020,1644.8
29/04/2020,-112.61,BUNNINGS 689000 MILL PARK AU Tap and Pay xx3903 Value Date: 26/04/2020,1669.1
29/04/2020,-94.56,BUNNINGS 689000 MILL PARK AU Tap and Pay xx3903 Value Date: 26/04/2020,1781.71
28/04/2020,-153.26,Direct Debit 466856 GIO COMMERCIAL I GPM004106253,1876.27
28/04/2020,-550,Transfer to xx5005 NetBank,2029.53
28/04/2020,-36.36,WWW.NETTVPLUS.COM A-F31C0 WWW.NETTVPLUS CY Card xx8833 AUD 36.36 Value Date: 23/04/2020,2579.53
28/04/2020,1158.17,Transfer From Lion Pumping Lion Pumping,2615.89
27/04/2020,-922.9,Transfer to CBA A/c NetBank Danibel Supplier,1457.72
27/04/2020,-37,COSTCO FUEL EPPING EPPING AU,2380.62
27/04/2020,-149.33,COSTCO WHOLESALE AUSTR EPPING AU,2417.62
25/04/2020,788.88,POS 43424400 25 APR,2566.95
25/04/2020,-143,BUNNINGS 543000 MERNDA AU Tap and Pay xx5155 Value Date: 22/04/2020,1778.07
25/04/2020,-119.9,RESTOCK PTY LTD KEILOR PARK AU Card xx8833 Value Date: 22/04/2020,1921.07
24/04/2020,-1000,Transfer to xx5005 NetBank,2040.97
24/04/2020,740,POS 43424400 24 APR,3040.97
24/04/2020,-650,Transfer to xx4217 NetBank,2300.97
24/04/2020,-176.75,SPOTLIGHT 113 MILL PARK AU Tap and Pay xx3903 Value Date: 22/04/2020,2950.97
24/04/2020,-62.52,WOOLWORTHS 3171 MILL PARK AU Tap and Pay xx3903 Value Date: 21/04/2020,3127.72
23/04/2020,640,POS 43424400 23 APR,3190.24
