t_date,t_amount,t_desc,t_balance
29/06/2018,"+90.00","Transfer from  NetBank Loan to business","+188.06"
28/06/2018,"-143.23","Direct Debit 466856 GIO COMMERCIAL I GPM004106253","+98.06"
25/06/2018,"-231.68","Direct Debit 279234 PAYPAL AUSTRALIA 1003331492233","+241.29"
25/06/2018,"-129.00","Direct Debit 279234 PAYPAL AUSTRALIA 1003332540078","+472.97"
25/06/2018,"-39.99","Direct Debit 279234 PAYPAL AUSTRALIA 1003332047563","+601.97"
23/06/2018,"+200.00","Transfer from  CommBank app Loan to business","+641.96"
22/06/2018,"-72.59","ADOBE  CREATIVE CLOUD 044-207-3650  IE Card xx7792 AUD 72.59 Value Date: 19/06/2018","+441.96"
21/06/2018,"-1430.00","Transfer to other Bank NetBank Rent and Rates","+514.55"
21/06/2018,"+700.00","Transfer from  NetBank Loan to business","+1944.55"
21/06/2018,"-25.95","AIRPORT PHARMACY MELBOURNE  AU Card xx7792 Value Date: 18/06/2018","+1244.55"
21/06/2018,"-11.81","WH SMITH AUSTRALIA TULLAMARINE  AU Card xx7792 Value Date: 18/06/2018","+1270.50"
21/06/2018,"-18.95","AIRPORT PHARMACY ADELAIDE AIRP  AU Card xx7792 Value Date: 18/06/2018","+1282.31"
21/06/2018,"-0.81","International Transaction Fee Value Date: 18/06/2018","+1301.26"
21/06/2018,"-26.98","Inflight Internet Service Cointrin  CH Card xx7792 USD 20.00 Value Date: 18/06/2018","+1302.07"
20/06/2018,"+500.00","Direct Credit 141000 Lion Pumping","+1329.05"
20/06/2018,"-33.75","Direct Debit 062246 CommInsure 8260620--124084811","+829.05"
20/06/2018,"-110.67","AGA ASSISTANCE BRISBANE  AU Card xx7792 Value Date: 16/06/2018","+862.80"
20/06/2018,"-53.00","OFFICEWORKS 0315 BUNDOORA  AU Card xx7792 Value Date: 18/06/2018","+973.47"
20/06/2018,"-12.50","DELAWARE NORTH RETAI ADELAIDE AIRP  AU Card xx7792 Value Date: 18/06/2018","+1026.47"
20/06/2018,"-12.50","DELAWARE NORTH RETAI ADELAIDE AIRP  AU Card xx7792 Value Date: 18/06/2018","+1038.97"
20/06/2018,"-9.50","DELAWARE NORTH RETAI MELBOURNE AIR  AU Card xx7792 Value Date: 18/06/2018","+1051.47"
19/06/2018,"-30.00","CARRY ON - ADELAIDE ADELAIDE AIRP  AU Card xx7792 Value Date: 18/06/2018","+1060.97"
19/06/2018,"-10.00","BUNNINGS 689000 MILL PARK  AU Card xx7792 Value Date: 18/06/2018","+1090.97"
18/06/2018,"-49.96","Direct Debit 279234 PAYPAL AUSTRALIA 1003295206814","+1100.97"
16/06/2018,"+710.00","POS  43424400 16 JUN","+1150.93"
15/06/2018,"+380.00","POS  43424400 15 JUN","+440.93"
14/06/2018,"-39.62","Direct Debit 279234 PAYPAL AUSTRALIA 1003276747521","+60.93"
14/06/2018,"-40.62","VODAFONE NORTH SYDNEY  AU Card xx7792 Value Date: 11/06/2018","+100.55"
13/06/2018,"+40.00","POS  43424400 13 JUN","+141.17"
13/06/2018,"-137.35","Direct Debit 122794 IINET TECHNOLOGI 181620525ccca1b","+101.17"
12/06/2018,"+80.00","POS  43424400 12 JUN","+238.52"
12/06/2018,"-62.32","Direct Debit 068616 HOLLARD INSURANC HOLLAR2193859373","+158.52"
12/06/2018,"-400.00","Transfer to xx5005 NetBank Wages","+220.84"
09/06/2018,"+480.00","POS  43424400 09 JUN","+620.84"
09/06/2018,"-250.00","GEM VISA CARD        NetBank BPAY 154799 6010732002049206","+140.84"
08/06/2018,"+350.00","POS  43424400 08 JUN","+390.84"
08/06/2018,"-69.19","BP BUNDOORA 7352 BUNDOORA  AU Card xx7792 Value Date: 05/06/2018","+40.84"
08/06/2018,"-8.00","AUSTIN HEALTH HEIDELBERG  AU Card xx7792 Value Date: 05/06/2018","+110.03"
07/06/2018,"-100.00","Transfer to xx5005 CommBank app Value Date: 08/06/2018","+118.03"
07/06/2018,"+120.00","POS  43424400 07 JUN","+218.03"
07/06/2018,"-3.97","International Transaction Fee Value Date: 04/06/2018","+98.03"
07/06/2018,"-132.34","SEMRUSH.COM HTTPSWWW.SEMR PA US Card xx7792 USD 99.95 Value Date: 04/06/2018","+102.00"
05/06/2018,"-114.00","TELSTRA BILL PAYMNT MELBOURNE  AU Card xx7792 Value Date: 01/06/2018","+234.34"
05/06/2018,"-8.78","BANYULE CITY COUNCIL IVANHOE  AU Card xx7792 Value Date: 03/06/2018","+348.34"
05/06/2018,"-89.68","HOLLARD INSURANCE CHATSWOOD  AU Card xx7776 Value Date: 01/06/2018","+357.12"
04/06/2018,"+100.00","POS  43424400 04 JUN","+446.80"
02/06/2018,"+160.00","POS  43424400 02 JUN","+346.80"
02/06/2018,"-90.00","CBA MERCHANT FEE 5353109391629396 Value Date: 31/05/2018","+186.80"
02/06/2018,"-650.00","VOLKSWAGEN FINANCIAL NetBank BPAY 44255 2733376","+276.80"
01/06/2018,"+250.00","POS  43424400 01 JUN","+926.80"
01/06/2018,"-0.02","Debit Excess Interest","+676.80"
01/06/2018,"-0.04","Debit Excess Int Adjusted Value Date: 01/05/2018","+676.82"
01/06/2018,"-13.00","MANIACS/VALIDEX.ORG 20 ALMERE  NL Card xx7792 AUD 13.00 Value Date: 29/05/2018","+676.86"
01/06/2018,"-125.00","WU 1814985174856372 180-017-3833  AU Card xx7792 Value Date: 29/05/2018","+689.86"
31/05/2018,"+210.00","POS  43424400 31 MAY","+814.86"
31/05/2018,"-119.46","OPTUS BILLING SMARTPAY MACQUARIE PAR  AU Card xx7792 Value Date: 29/05/2018","+604.86"
