id,date,description,credit,debit,category,isSelected
0.5521699558782673,30/06/2020,Direct Debit 513839 IINET_LIMITED-N 20181068ccc0fb6,0,109.99,utilities,false
0.9925902413934018,30/06/2020,Direct Debit 466856 GIO COMMERCIAL I GPM004106253,0,153.26,insurance,false
0.11603479783874504,30/06/2020,Transfer to CBA A/c NetBank Danibel Supplier,0,1466.3,materials,false
0.3659741571720656,30/06/2020,OFFICEWORKS 0340 EPPING AU Tap and Pay xx3903 Value Date: 26/06/2020,0,209.44,materials,false
0.43231179504041894,30/06/2020,Jaycar Electronics Thomastown AU Tap and Pay xx3903 Value Date: 26/06/2020,0,85.85,materials,false
0.9422877738877218,30/06/2020,OFFICEWORKS 0315 BUNDOORA AU Tap and Pay xx3903 Value Date: 26/06/2020,0,391.95,materials,false
0.1932304719921052,30/06/2020,DAN MURPHYS 3865 EPPIN EPPING AU Tap and Pay xx3903 Value Date: 26/06/2020,0,87.8,private,false
0.08338961987315474,30/06/2020,COLES 7786 LALOR AU Tap and Pay xx3903 Value Date: 27/06/2020,0,27.3,,false
0.6524403706004014,30/06/2020,ALDI STORES - EPPING EPPING AU Tap and Pay xx3903 Value Date: 26/06/2020,0,38.12,private,false
0.17901678362070017,30/06/2020,Transfer From Lion Pumping Lion Pumping,1158.17,0,income,false
0.2816697074042256,29/06/2020,Direct Debit 279234 PAYPAL AUSTRALIA 1009474251193,0,65.96,software,false
0.5782434874135707,29/06/2020,Direct Debit 279234 PAYPAL AUSTRALIA 1009470830941,0,13.99,private,false
0.8715232624673084,29/06/2020,Transfer from NetBank,1000,0,,false
0.006670152155285658,29/06/2020,COSTCO FUEL EPPING EPPING AU,0,65,,false
0.6423086499694164,28/06/2020,WOOLWORTHS 3171 MILL P MILL PARK AU Card xx8833,0,28.65,private,false
0.9363075841301636,28/06/2020,Transfer to xx4217 NetBank,0,500,,false
0.08209983951353927,27/06/2020,POS 43424400 27 JUN,830,0,income,false
0.9369220833468244,27/06/2020,D O C CARLTON CARLTON AU Tap and Pay xx4493 Value Date: 24/06/2020,0,176,,false
0.25855597524533414,27/06/2020,OFFICEWORKS 0340 EPPING AU Tap and Pay xx3903 Value Date: 25/06/2020,0,278,materials,false
0.8106129627824108,27/06/2020,OFFICEWORKS 0340 EPPING AU Tap and Pay xx3903 Value Date: 25/06/2020,0,634,stationary,false
0.11339134755619162,26/06/2020,POS 43424400 26 JUN,440,0,income,false
0.11345694192375233,26/06/2020,Direct Credit 279219 PAYPAL AUSTRALIA 1009433106240,220.36,0,income,false
0.169044395579099,26/06/2020,Transfer from CommBank app,500,0,,false
0.9997646555956794,26/06/2020,WWW.NETTVPLUS.COM A-F3220 WWW.NETTVPLUS CY Card xx8833 AUD 36.36 Value Date: 23/06/2020,0,36.36,,false
0.8463708218719554,25/06/2020,Direct Debit 279234 PAYPAL AUSTRALIA 1009430163031,0,44.03,software,false
0.4378251243871085,25/06/2020,Transfer to xx4217 NetBank,0,1000,,false
0.01112778969330197,25/06/2020,Direct Credit 364049 LB CONCRETE JDL SOFTWARE - LB,1158.17,0,income,false
0.475874667577717,25/06/2020,Transfer from NetBank,15,0,,false
0.4165799700120443,25/06/2020,Transfer from CommBank app,500,0,,false
0.7328198742689889,25/06/2020,Transfer to xx4217 NetBank,0,500,,false
0.1176886330910516,24/06/2020,POS 43424400 24 JUN,780,0,income,false
0.24357731448530107,24/06/2020,Direct Debit 279234 PAYPAL AUSTRALIA 1009412850266,0,120,materials,false
0.9423793336683788,24/06/2020,HARVEY NORMAN AV/IT BAIRNSDALE AU Card xx8833 Value Date: 21/06/2020,0,1176,materials,false
0.4960839383346387,23/06/2020,Direct Debit 077380 DEFT PAYMENTS DEFT 20357512,0,924.15,rent,false
0.7964214403812071,23/06/2020,Direct Debit 279234 PAYPAL AUSTRALIA 1009408438075,0,79.2,materials,false
0.45347461153084234,23/06/2020,Direct Debit 279234 PAYPAL AUSTRALIA 1009408484139,0,129.98,materials,false
0.2704491591008995,23/06/2020,Direct Debit 279234 PAYPAL AUSTRALIA 1009407912489,0,83.91,software,false
0.6453031991118354,23/06/2020,ADOBE CREATIVE CLOUD ADOBE.LY/ENAU IE Card xx8833 AUD 76.99 Value Date: 19/06/2020,0,76.99,software,false
0.981982720750187,23/06/2020,TARGETC 6586 BAIRNSDALE AU Tap and Pay xx3903 Value Date: 21/06/2020,0,146.3,,false
0.2824838263938725,23/06/2020,Transfer From Lion Pumping Lion Monthly,550,0,income,false
0.921373766346016,23/06/2020,Transfer From Lion Pumping Lion Pumping,1158.17,0,income,false
0.8976717322411496,22/06/2020,Direct Debit 279234 PAYPAL AUSTRALIA 1009396925626,0,220.36,materials,false
0.30047848960175494,22/06/2020,Direct Debit 279234 PAYPAL AUSTRALIA 1009388409926,0,129,software,false
0.019018731079582185,20/06/2020,POS 43424400 20 JUN,420,0,income,false
0.8223574881928992,20/06/2020,COSTCO FUEL EPPING EPPING AU,0,35,,false
0.4129676520246337,20/06/2020,POST THOMASTOWN POSTTH THOMASTOWN AU Card xx7776 Value Date: 17/06/2020,0,19.35,,false
0.15964574547420018,19/06/2020,POS 43424400 19 JUN,540,0,income,false
0.8624749917903347,19/06/2020,COSTCO WHOLESALE AUSTR EPPING AU Card xx7776,0,252.92,,false
0.7754614588656938,19/06/2020,COUNTRY ROAD BUNDOORA AU Tap and Pay xx4493 Value Date: 16/06/2020,0,49.98,,false
0.7036251641971423,19/06/2020,SKECHERS BUNDOORA AU Tap and Pay xx3903 Value Date: 16/06/2020,0,79.99,,false
0.34170390938687967,19/06/2020,MILL PARK PHARMACY PL MILL PARK AU Tap and Pay xx3903 Value Date: 15/06/2020,0,92.83,,false
0.4946668883697183,19/06/2020,HOUSE ROBINS KITCHEN BUNDOORA AU Tap and Pay xx3903 Value Date: 16/06/2020,0,116.87,,false
0.7015647414414068,19/06/2020,COUNTRY ROAD BUNDOORA AU Card xx7776 Value Date: 17/06/2020,0,66.96,,false
